block_end n sum_rr sum_rr2 sum_d sum_d2
1200 4 737 135841 1 109
2400 6 1113 206597 11 235
3600 7 1352 261230 3 215
4800 6 1181 232599 6 222
6000 6 1182 232950 -11 167
7200 6 1156 222790 -3 167
8400 6 1198 239372 15 491
9600 6 1236 254732 0 330
10800 6 1215 246167 6 156
12000 6 1229 251859 -1 327
13200 6 1151 221103 -24 324
14400 6 1263 266107 27 1169
15600 5 1038 215710 3 507
16800 6 1248 259900 5 773
18000 6 1264 266488 -11 309
19200 6 1206 242642 -5 895
20400 6 1211 244525 -1 303
21600 6 1180 232154 -9 69
22800 6 1144 218178 3 125
24000 6 1154 222118 2 326
25200 7 1338 255842 -8 158
26400 6 1090 198090 -10 346
27600 7 1308 244440 8 106
