case k ax ay az nod lp_f lp_v cnt
still 0 52 16471 -125 0 15 2058 0
still 1 -7 16434 66 0 4 3855 0
still 2 32 16458 14 0 1 5430 0
still 3 27 16393 -53 0 7 6800 0
still 4 -42 16403 -29 0 9 8000 0
still 5 62 16448 88 0 -4 9056 0
still 6 -1 16452 -45 0 2 9980 0
still 7 -40 16388 14 0 0 10781 0
still 8 -79 16299 17 0 -3 11470 0
still 9 -42 16443 19 0 -5 12091 0
still 10 15 16394 44 0 -10 12628 0
still 11 -8 16437 -26 0 -6 13104 0
still 12 -11 16351 29 0 -9 13509 0
still 13 2 16342 98 0 -21 13863 0
still 14 -18 16378 19 0 -21 14177 0
still 15 86 16377 35 0 -23 14452 0
still 16 5 16312 39 0 -25 14684 0
still 17 50 16372 -1 0 -22 14895 0
still 18 -74 16309 -19 0 -17 15071 0
still 19 31 16361 14 0 -17 15232 0
still 20 48 16389 28 0 -19 15376 0
still 21 71 16323 37 0 -22 15494 0
still 22 -93 16405 10 0 -21 15607 0
still 23 -27 16331 -3 0 -18 15697 0
still 24 -20 16389 -45 0 -11 15783 0
still 25 27 16333 -15 0 -8 15851 0
still 26 -19 16446 -74 0 2 15925 0
still 27 -20 16442 -32 0 5 15989 0
still 28 -61 16398 -14 0 6 16040 0
still 29 41 16339 9 0 4 16077 0
still 30 33 16435 -54 0 10 16121 0
still 31 70 16340 -74 0 18 16148 0
still 32 -47 16392 -16 0 17 16178 0
still 33 22 16408 16 0 12 16206 0
still 34 -13 16473 -109 0 24 16239 0
still 35 -85 16359 -62 0 28 16254 0
still 36 -126 16345 -37 0 29 16265 0
still 37 -120 16426 64 0 17 16285 0
still 38 61 16359 7 0 14 16294 0
still 39 -55 16394 -33 0 16 16306 0
still 40 20 16367 51 0 7 16313 0
still 41 41 16445 -79 0 16 16329 0
still 42 -89 16404 -28 0 17 16338 0
still 43 20 16399 9 0 13 16345 0
still 44 45 16411 23 0 8 16353 0
still 45 -44 16469 6 0 6 16367 0
