block n60 sum_rr60 bad60 hold drowsy
0 2 419 4 1 0
1 7 1431 4 1 0
2 13 2613 4 1 0
3 19 3852 4 1 0
4 25 5061 4 1 0
5 31 6297 4 1 0
6 37 7480 4 1 0
7 43 8697 4 1 0
8 49 9920 4 1 0
9 54 11009 4 1 0
10 60 12338 4 1 0
11 65 13421 4 1 0
12 69 14282 0 1 0
13 69 14376 0 1 0
14 69 14514 0 1 0
15 68 14390 0 1 0
16 68 14495 0 1 0
17 67 14354 0 1 0
18 67 14504 0 1 0
19 66 14392 0 1 0
20 66 14402 0 1 0
21 67 14581 0 1 0
22 66 14280 0 1 0
23 67 14479 0 1 0
24 67 14455 0 1 0
25 67 14469 0 1 0
26 67 14416 0 1 0
27 67 14391 0 1 0
28 67 14374 0 1 0
29 68 14550 0 1 0
30 68 14423 0 1 0
31 68 14494 0 1 0
32 67 14341 0 1 0
33 67 14355 0 1 0
34 67 14437 0 1 0
35 67 14452 0 1 0
36 67 14449 0 0 0
37 67 14386 0 0 0
38 67 14437 0 0 0
39 67 14434 0 0 0
40 67 14452 0 0 0
41 66 14287 0 0 0
42 66 14413 0 0 0
43 66 14348 0 0 0
44 66 14346 0 0 0
45 66 14365 0 0 0
46 66 14395 0 0 0
47 66 14389 0 0 0
48 65 14234 0 0 0
49 66 14539 0 0 0
50 65 14307 0 0 0
51 65 14352 0 0 0
52 65 14379 0 0 0
53 65 14375 0 0 0
54 65 14334 0 0 0
55 65 14289 0 0 0
56 66 14523 0 0 0
57 66 14506 0 0 0
58 66 14456 0 0 0
59 66 14457 0 0 0
60 66 14403 0 0 0
61 66 14272 0 0 0
62 67 14522 0 0 0
63 67 14450 0 0 0
64 67 14430 0 0 0
65 67 14420 0 0 0
66 67 14431 0 0 0
67 67 14448 0 0 0
68 67 14445 0 0 0
69 66 14245 0 0 0
70 67 14459 0 0 0
71 66 14260 0 0 0
72 67 14548 0 0 0
73 66 14385 0 0 0
74 66 14391 0 0 0
75 66 14447 0 0 0
76 65 14252 0 0 0
77 66 14473 0 0 0
78 65 14262 0 0 0
79 66 14526 0 0 0
80 65 14334 0 0 0
81 66 14524 0 0 0
82 65 14302 0 0 0
83 66 14478 0 0 0
84 66 14404 0 0 0
85 66 14402 0 0 0
86 66 14347 0 0 0
87 67 14501 0 0 0
88 67 14444 0 0 0
89 67 14392 0 0 0
90 67 14375 0 0 0
91 67 14347 0 0 0
92 68 14488 0 0 0
93 67 14217 0 0 0
94 68 14434 0 0 0
95 67 14291 0 0 0
96 67 14351 0 0 0
97 68 14547 0 0 0
98 67 14328 0 0 0
99 67 14324 0 0 0
100 67 14337 0 0 0
101 67 14370 0 0 0
102 67 14385 0 0 0
103 67 14359 0 0 0
104 67 14329 0 0 0
105 68 14580 0 0 0
106 67 14312 0 0 0
107 68 14466 0 0 0
108 68 14422 0 0 0
109 67 14268 0 0 0
110 68 14517 0 0 0
111 67 14362 0 0 0
112 68 14586 0 0 0
113 67 14327 0 0 0
114 69 14610 0 0 0
115 68 14329 0 0 0
116 68 14360 0 0 0
117 68 14388 0 0 0
118 68 14482 0 0 0
119 68 14523 0 0 0
120 67 14333 0 0 0
121 68 14514 0 0 0
122 67 14336 0 0 0
123 67 14347 0 0 0
124 67 14369 0 0 0
125 67 14402 0 0 0
126 66 14316 0 0 0
127 66 14381 0 0 0
128 66 14407 0 0 0
129 66 14380 0 0 0
130 67 14523 0 0 0
131 66 14236 0 0 0
132 67 14368 0 0 0
133 67 14309 0 0 0
134 68 14410 0 0 0
135 68 14413 0 0 0
136 68 14416 0 0 0
137 68 14451 0 0 0
138 68 14455 0 0 0
139 68 14456 0 0 0
140 67 14299 0 0 0
141 67 14386 0 0 0
142 66 14215 0 0 0
143 67 14521 0 0 0
144 66 14433 0 0 0
145 65 14336 0 0 0
146 65 14403 0 0 0
147 66 14551 0 0 0
148 65 14313 0 0 0
149 65 14360 0 0 0
150 65 14423 0 0 0
151 65 14465 0 0 0
152 66 14608 0 0 0
153 65 14332 0 0 0
154 66 14571 0 0 0
155 65 14310 0 0 0
156 66 14490 0 0 0
157 66 14451 0 0 0
158 66 14460 0 0 0
159 65 14281 0 0 0
160 66 14468 0 0 0
161 66 14403 0 0 0
162 66 14358 0 0 0
163 66 14340 0 0 0
164 66 14342 0 0 0
165 67 14549 0 0 0
166 66 14286 0 0 0
167 66 14351 0 0 0
168 66 14277 0 0 0
169 67 14419 0 0 0
170 67 14374 0 0 0
171 67 14364 0 0 0
172 67 14327 0 0 0
173 67 14381 0 0 0
174 67 14351 0 0 0
175 68 14526 0 0 0
176 67 14344 0 0 0
177 66 14202 0 0 0
178 67 14488 0 0 0
179 67 14443 0 0 0
180 66 14337 0 0 0
181 66 14391 0 0 0
182 66 14400 0 0 0
183 66 14375 0 0 0
184 66 14451 0 0 0
185 66 14425 0 0 0
186 66 14451 0 0 0
187 65 14280 0 0 0
188 65 14318 0 0 0
189 66 14542 0 0 0
190 65 14308 0 0 0
191 65 14327 0 0 0
192 66 14561 0 0 0
193 65 14375 0 0 0
194 65 14395 0 0 0
195 65 14407 0 0 0
196 65 14411 0 0 0
197 65 14416 0 0 0
198 65 14408 0 0 0
199 66 14532 0 0 0
200 66 14454 0 0 0
201 66 14415 0 0 0
202 66 14389 0 0 0
203 67 14555 0 0 0
204 66 14268 0 0 0
205 67 14411 0 0 0
206 67 14428 0 0 0
207 67 14455 0 0 0
208 67 14344 0 0 0
209 68 14521 0 0 0
210 67 14366 0 0 0
211 66 14246 0 0 0
212 67 14429 0 0 0
213 67 14373 0 0 0
214 68 14521 0 0 0
215 67 14292 0 0 0
216 68 14526 0 0 0
217 67 14377 0 0 0
218 67 14385 0 0 0
219 67 14385 0 0 0
220 66 14326 0 0 0
221 66 14344 0 0 0
222 67 14456 0 0 0
223 67 14393 0 0 0
224 67 14468 0 0 0
225 66 14309 0 0 0
226 66 14331 0 0 0
227 66 14380 0 0 0
228 66 14324 0 0 0
229 67 14491 0 0 0
230 66 14250 0 0 0
231 67 14394 0 0 0
232 68 14487 0 0 0
233 68 14461 0 0 0
234 67 14321 0 0 0
235 67 14378 0 0 0
236 67 14373 0 0 0
237 67 14343 0 0 0
238 67 14388 0 0 0
239 68 14585 0 0 0
240 67 14427 0 0 0
241 67 14467 0 0 0
242 67 14423 0 0 0
243 67 14479 0 0 0
244 66 14317 0 0 0
245 66 14314 0 0 0
246 66 14280 0 0 0
247 67 14520 0 0 0
248 66 14342 0 0 0
249 67 14564 0 0 0
250 66 14337 0 0 0
251 66 14340 0 0 0
252 66 14328 0 0 0
253 66 14285 0 0 0
254 67 14546 0 0 0
255 66 14326 0 0 0
256 67 14545 0 0 0
257 66 14392 0 0 0
258 67 14588 0 0 0
259 66 14287 0 0 0
260 67 14438 0 0 0
261 67 14425 0 0 0
262 67 14388 0 0 0
263 67 14370 0 0 0
264 67 14387 0 0 0
265 67 14412 0 0 0
266 67 14351 0 0 0
267 68 14478 0 0 0
268 68 14430 0 0 0
269 68 14340 0 0 0
270 68 14368 0 0 0
271 68 14397 0 0 0
272 68 14439 0 0 0
273 67 14244 0 0 0
274 68 14456 0 0 0
275 67 14295 0 0 0
276 68 14517 0 0 0
277 67 14297 0 0 0
278 67 14387 0 0 0
279 67 14434 0 0 0
280 67 14390 0 0 0
281 67 14371 0 0 0
282 67 14330 0 0 0
283 68 14545 0 0 0
284 67 14317 0 0 0
285 68 14531 0 0 0
286 67 14365 0 0 0
287 68 14528 0 0 0
288 67 14270 0 0 0
289 68 14490 0 0 0
290 68 14437 0 0 0
291 67 14229 0 0 0
292 67 14304 0 0 0
293 68 14526 0 0 0
294 68 14521 0 0 0
295 67 14295 0 0 0
296 68 14427 0 0 0
297 69 14437 0 0 0
298 70 14458 0 0 0
299 70 14339 0 0 0
300 71 14465 0 0 0
301 71 14449 0 0 0
302 70 14267 0 0 0
303 71 14564 0 0 0
304 70 14359 0 0 0
305 70 14385 0 0 0
306 70 14357 0 0 0
307 71 14519 0 0 0
308 70 14338 0 0 0
309 69 14332 0 0 0
310 69 14479 0 0 0
311 68 14424 0 0 0
312 68 14534 0 0 0
313 67 14364 0 0 0
314 68 14552 0 0 0
315 67 14281 0 0 0
316 68 14519 0 0 0
317 67 14398 0 0 0
318 66 14294 0 0 0
319 66 14391 0 0 0
320 66 14402 0 0 0
321 66 14394 0 0 0
322 65 14245 0 0 0
323 66 14379 0 0 0
324 66 14368 0 0 0
325 66 14354 0 0 0
326 66 14373 0 0 0
327 66 14360 0 0 0
328 66 14294 0 0 0
329 67 14467 0 0 0
330 67 14435 0 0 0
331 67 14434 0 0 0
332 67 14488 0 0 0
333 66 14288 0 0 0
334 67 14517 0 0 0
335 66 14380 0 0 0
336 66 14398 0 0 0
337 66 14387 0 0 0
338 66 14338 0 0 0
339 66 14409 0 0 0
340 66 14504 0 0 0
341 65 14263 0 0 0
342 66 14469 0 0 0
343 65 14226 0 0 0
344 66 14353 0 0 0
345 67 14531 0 0 0
346 67 14459 0 0 0
347 67 14398 0 0 0
348 67 14392 0 0 0
349 67 14383 0 0 0
350 67 14422 0 0 0
351 68 14556 0 0 0
352 67 14235 0 0 0
353 68 14405 0 0 0
354 68 14357 0 0 0
355 69 14555 0 0 0
356 68 14369 0 0 0
357 68 14399 0 0 0
358 67 14221 0 0 0
359 68 14452 0 0 0
360 68 14397 0 0 0
361 68 14449 0 0 0
362 68 14406 0 0 0
363 67 14216 0 0 0
364 68 14487 0 0 0
365 68 14515 0 0 0
366 67 14361 0 0 0
367 67 14390 0 0 0
368 67 14430 0 0 0
369 67 14365 0 0 0
370 68 14546 0 0 0
371 67 14345 0 0 0
372 67 14427 0 0 0
373 67 14440 0 0 0
374 66 14330 0 0 0
375 66 14412 0 0 0
376 66 14437 0 0 0
377 65 14292 0 0 0
378 66 14536 0 0 0
379 65 14302 0 0 0
380 66 14517 0 0 0
381 65 14366 0 0 0
382 65 14377 0 0 0
383 65 14394 0 0 0
384 65 14358 0 0 0
385 65 14292 0 0 0
386 66 14461 0 0 0
387 66 14408 0 0 0
388 66 14323 0 0 0
389 67 14438 0 0 0
390 67 14374 0 0 0
391 67 14381 0 0 0
392 67 14289 0 0 0
393 67 14324 0 0 0
394 67 14299 0 0 0
395 68 14487 0 0 0
396 67 14310 0 0 0
397 68 14525 0 0 0
398 68 14420 0 0 0
399 68 14383 0 0 0
400 68 14419 0 0 0
401 68 14467 0 0 0
402 68 14371 0 0 0
403 69 14542 0 0 0
