block n60 sum_rr60 bad60 hold drowsy alert
0 5 849 2 1 0 0
1 11 1943 2 1 0 0
2 17 3179 2 1 0 0
3 24 4481 2 1 0 0
4 30 5644 2 1 0 0
5 36 6729 2 1 0 0
6 43 8079 2 1 0 0
7 49 9227 2 1 0 0
8 54 10320 2 1 0 0
9 60 11593 2 1 0 0
10 65 12684 2 1 0 0
11 71 14026 2 1 0 0
12 71 14294 0 1 0 0
13 71 14534 0 1 0 0
14 70 14395 0 1 0 0
15 68 14232 0 1 0 0
16 68 14428 0 1 0 0
17 67 14458 0 1 0 0
18 65 14248 0 1 0 0
19 65 14384 0 1 0 0
20 65 14409 0 1 0 0
21 65 14427 0 1 0 0
22 65 14402 0 1 0 0
23 65 14296 0 1 0 0
24 66 14476 0 1 0 0
25 66 14379 0 1 0 0
26 67 14471 0 1 0 0
27 68 14485 0 1 0 0
28 68 14330 0 1 0 0
29 69 14428 0 1 0 0
30 70 14461 0 1 0 0
31 70 14422 0 1 0 0
32 71 14505 0 1 0 0
33 71 14425 0 1 0 0
34 72 14541 0 1 0 0
35 71 14412 0 1 0 0
36 71 14411 0 0 0 0
37 70 14245 0 0 0 0
38 70 14373 0 0 0 0
39 69 14297 0 0 0 0
40 69 14410 0 0 0 0
41 68 14267 0 0 0 0
42 68 14312 0 0 0 0
43 69 14443 0 0 0 0
44 69 14390 0 0 0 0
45 69 14434 0 0 0 0
46 68 14277 0 0 0 0
47 69 14421 0 0 0 0
48 69 14366 0 0 0 0
49 70 14512 0 0 0 0
50 70 14378 0 0 0 0
51 71 14476 0 0 0 0
52 71 14349 0 0 0 0
53 72 14479 0 0 0 0
54 72 14439 0 0 0 0
55 71 14321 0 0 0 0
56 70 14257 0 0 0 0
57 70 14315 0 0 0 0
58 71 14578 0 0 0 0
59 71 14505 0 0 0 0
60 71 14483 0 0 0 0
61 71 14454 0 0 0 0
62 70 14324 0 0 0 0
63 70 14368 0 0 0 0
64 70 14397 0 0 0 0
65 70 14421 0 0 0 0
66 70 14452 0 0 0 0
67 70 14389 0 0 0 0
68 71 14515 0 0 0 0
69 71 14440 0 0 0 0
70 71 14356 0 0 0 0
71 71 14421 0 0 0 0
72 71 14362 0 0 0 0
73 71 14389 0 0 0 0
74 72 14503 0 0 0 0
75 72 14415 0 0 0 0
76 72 14368 0 0 0 0
77 72 14366 0 0 0 0
78 72 14423 0 0 0 0
79 71 14294 0 0 0 0
80 71 14334 0 0 0 0
81 71 14320 0 0 0 0
82 71 14412 0 0 0 0
83 70 14208 0 0 0 0
84 70 14239 0 0 0 0
85 71 14413 0 0 0 0
86 70 14256 0 0 0 0
87 70 14342 0 0 0 0
88 71 14525 0 0 0 0
89 70 14319 0 0 0 0
90 70 14333 0 0 0 0
91 71 14553 0 0 0 0
92 70 14350 0 0 0 0
93 70 14322 0 0 0 0
94 71 14392 0 0 0 0
95 72 14518 0 0 0 0
96 72 14468 0 0 0 0
97 71 14231 0 0 0 0
98 72 14412 0 0 0 0
99 73 14545 0 0 0 0
100 72 14368 0 0 0 0
101 73 14482 0 0 0 0
102 73 14413 0 0 0 0
103 73 14373 0 0 0 0
104 74 14587 0 0 0 0
105 73 14424 0 0 0 0
106 72 14259 0 0 0 0
107 72 14322 0 0 0 0
108 72 14407 0 0 0 0
109 72 14545 0 0 0 0
110 72 14587 0 0 0 0
111 70 14252 0 0 0 0
112 71 14463 0 0 0 0
113 70 14335 0 0 0 0
114 70 14326 0 0 0 0
115 70 14326 0 0 0 0
116 70 14275 0 0 0 0
117 71 14447 0 0 0 0
118 71 14454 0 0 0 0
119 71 14409 0 0 0 0
120 71 14402 0 0 0 0
121 71 14269 0 0 0 0
122 72 14373 0 0 0 0
123 73 14517 0 0 0 0
124 72 14326 0 0 0 0
125 73 14540 0 0 0 0
126 73 14591 0 0 0 0
127 72 14357 0 0 0 0
128 72 14395 0 0 0 0
129 72 14388 0 0 0 0
130 72 14464 0 0 0 0
131 71 14335 0 0 0 0
132 71 14365 0 0 0 0
133 71 14449 0 0 0 0
134 70 14337 0 0 0 0
135 70 14441 0 0 0 0
136 69 14338 0 0 0 0
137 69 14394 0 0 0 0
138 69 14340 0 0 0 0
139 70 14585 0 0 0 0
140 70 14498 0 0 0 0
141 70 14517 0 0 0 0
142 70 14424 0 0 0 0
143 71 14567 0 0 0 0
144 71 14502 0 0 0 0
145 71 14374 0 0 0 0
146 71 14311 0 0 0 0
147 71 14295 0 0 0 0
148 72 14407 0 0 0 0
149 72 14392 0 0 0 0
150 72 14419 0 0 0 0
151 72 14354 0 0 0 0
152 72 14430 0 0 0 0
153 72 14377 0 0 0 0
154 73 14434 0 0 0 0
155 73 14372 0 0 0 0
156 73 14380 0 0 0 0
157 73 14447 0 0 0 0
158 73 14522 0 0 0 0
159 73 14489 0 0 0 0
160 73 14484 0 0 0 0
161 73 14380 0 0 0 0
162 73 14343 0 0 0 0
163 73 14322 0 0 0 0
164 73 14276 0 0 0 0
165 73 14289 0 0 0 0
166 72 14285 0 0 0 0
167 72 14368 0 0 0 0
168 72 14474 0 0 0 0
169 71 14378 0 0 0 0
170 71 14357 0 0 0 0
171 71 14442 0 0 0 0
172 71 14426 0 0 0 0
173 71 14492 0 0 0 0
174 71 14466 0 0 0 0
175 71 14487 0 0 0 0
176 71 14490 0 0 0 0
177 71 14498 0 0 0 0
178 70 14337 0 0 0 0
179 71 14486 0 0 0 0
180 70 14313 0 0 0 0
181 71 14378 0 0 0 0
182 72 14447 0 0 0 0
183 72 14319 0 0 0 0
184 72 14372 0 0 0 0
185 71 14185 0 0 0 0
186 71 14355 0 0 0 0
187 71 14402 0 0 0 0
188 70 14309 0 0 0 0
189 70 14411 0 0 0 0
190 70 14399 0 0 0 0
191 69 14276 0 0 0 0
192 70 14413 0 0 0 0
193 70 14541 0 0 0 0
194 68 14363 0 0 0 0
195 68 14446 0 0 0 0
196 67 14289 0 0 0 0
197 68 14477 0 0 0 0
198 68 14311 0 0 0 0
199 69 14419 0 0 0 0
200 70 14490 0 0 0 0
201 70 14420 0 0 0 0
202 71 14567 0 0 0 0
203 70 14361 0 0 0 0
204 70 14393 0 0 0 0
205 70 14352 0 0 0 0
206 70 14304 0 0 0 0
207 70 14303 0 0 0 0
208 71 14523 0 0 0 0
209 70 14371 0 0 0 0
210 70 14443 0 0 0 0
211 69 14292 0 0 0 0
212 69 14277 0 0 0 0
213 70 14433 0 0 0 0
214 70 14406 0 0 0 0
215 71 14560 0 0 0 0
216 71 14457 0 0 0 0
217 71 14284 0 0 0 0
218 73 14554 0 0 0 0
219 73 14449 0 0 0 0
220 73 14347 0 0 0 0
221 74 14546 0 0 0 0
222 73 14331 0 0 0 0
223 73 14438 0 0 0 0
224 73 14548 0 0 0 0
225 71 14224 0 0 0 0
226 72 14375 0 0 0 0
227 72 14371 0 0 0 0
228 72 14403 0 0 0 0
229 71 14375 0 0 0 0
230 70 14328 0 0 0 0
231 70 14480 0 0 0 0
232 69 14350 0 0 0 0
233 69 14387 0 0 0 0
234 70 14592 0 0 0 0
235 69 14378 0 0 0 0
236 69 14335 0 0 0 0
237 70 14500 0 0 0 0
238 69 14393 0 0 0 0
239 68 14270 0 0 0 0
240 68 14299 0 0 0 0
241 69 14547 0 0 0 0
242 69 14402 0 0 0 0
243 69 14306 0 0 0 0
244 70 14398 0 0 0 0
245 70 14300 0 0 0 0
246 70 14312 0 0 0 0
247 71 14476 0 0 0 0
248 70 14301 0 0 0 0
249 70 14317 0 0 0 0
250 70 14314 0 0 0 0
251 71 14461 0 0 0 0
252 71 14470 0 0 0 0
253 71 14397 0 0 0 0
254 71 14473 0 0 0 0
255 71 14499 0 0 0 0
256 70 14367 0 0 0 0
257 70 14407 0 0 0 0
258 70 14396 0 0 0 0
259 70 14368 0 0 0 0
260 71 14540 0 0 0 0
261 71 14555 0 0 0 0
