block n60 sum_rr60 hold drowsy
0 0 0 1 0
1 0 0 1 0
2 1 353 1 0
3 2 696 1 0
4 4 1381 1 0
5 8 2728 1 0
6 12 4015 1 0
7 16 5054 1 0
8 20 6218 1 0
9 22 6927 1 0
10 23 7261 1 0
11 26 8303 1 0
12 28 8991 1 0
13 30 9691 1 0
14 31 10015 1 0
15 33 10734 1 0
16 32 10393 1 0
17 31 10055 1 0
18 30 9812 1 0
19 28 9434 1 0
20 27 9312 1 0
21 29 9926 1 0
22 31 10568 1 0
23 31 10530 1 0
24 32 10836 1 0
25 32 10824 1 0
26 33 11174 1 0
27 34 11487 1 0
28 36 12134 1 0
29 38 12610 1 0
30 39 12653 1 0
31 41 13081 1 0
32 43 13429 1 0
33 43 13236 1 0
34 44 13349 1 0
35 46 13706 1 0
36 47 13808 0 0
37 49 14232 0 0
38 51 14634 0 0
39 51 14409 0 0
40 52 14576 0 0
41 51 14234 0 0
42 51 14291 0 0
43 52 14625 0 0
44 51 14345 0 0
45 51 14301 0 0
46 52 14585 0 0
47 51 14359 0 0
48 51 14372 0 0
49 51 14388 0 0
50 51 14404 0 0
51 51 14406 0 0
52 51 14379 0 0
53 51 14392 0 0
54 51 14465 0 0
55 50 14242 0 0
56 47 13489 0 0
57 46 13448 0 0
58 44 13124 0 0
59 44 13369 0 0
60 43 13231 0 0
61 43 13454 0 0
62 40 12689 0 0
63 41 12953 0 0
64 40 12682 0 0
65 38 12182 0 0
66 39 12251 0 0
67 39 12140 0 0
68 42 12931 0 0
69 44 13253 0 0
70 45 13348 0 0
71 45 13108 0 0
72 46 13316 0 0
73 46 13111 0 0
74 49 13899 0 0
75 48 13640 0 0
76 49 13977 0 0
77 51 14448 0 0
78 47 13508 0 0
79 45 13130 0 0
80 43 12686 0 0
81 41 12362 0 0
82 41 12604 0 0
83 40 12521 0 0
84 39 12390 0 0
85 39 12651 0 0
86 36 11878 0 0
87 36 12112 0 1
88 35 11948 0 1
89 35 12152 0 1
90 37 12801 0 1
