case block n60 sum_rr60 bad60 hold drowsy alert
boundary 0 80 19200 0 1 0 0
boundary 1 80 19200 0 1 0 0
boundary 2 80 19200 0 1 0 0
boundary 3 80 19200 0 1 0 0
boundary 4 80 19200 0 1 0 0
boundary 5 80 19200 0 1 0 0
boundary 6 80 19200 0 1 0 0
boundary 7 80 19200 0 1 0 0
boundary 8 80 19200 0 1 0 0
boundary 9 80 19200 0 1 0 0
boundary 10 80 19200 0 1 0 0
boundary 11 80 19200 0 1 0 0
boundary 12 80 19200 0 1 0 0
boundary 13 80 19200 0 1 0 0
boundary 14 80 19200 0 1 0 0
boundary 15 80 19200 0 1 0 0
boundary 16 80 19200 0 1 0 0
boundary 17 80 19200 0 1 0 0
boundary 18 80 19200 0 1 0 0
boundary 19 80 19200 0 1 0 0
boundary 20 80 19200 0 1 0 0
boundary 21 80 19200 0 1 0 0
boundary 22 80 19200 0 1 0 0
boundary 23 80 19200 0 1 0 0
boundary 24 80 19200 0 1 0 0
boundary 25 80 19200 0 1 0 0
boundary 26 80 19200 0 1 0 0
boundary 27 80 19200 0 1 0 0
boundary 28 80 19200 0 1 0 0
boundary 29 80 19200 0 1 0 0
boundary 30 80 19200 0 1 0 0
boundary 31 80 19200 0 1 0 0
boundary 32 80 19200 0 1 0 0
boundary 33 80 19200 0 1 0 0
boundary 34 80 19200 0 1 0 0
boundary 35 80 19200 0 1 0 0
boundary 36 80 20363 0 0 1 1
boundary 37 80 20362 0 0 0 0
boundary 38 80 20364 0 0 1 0
boundary 39 29 7000 0 1 0 0
boundary 40 30 7000 0 0 0 0
boundary 41 30 8000 0 0 1 0
boundary 42 0 0 0 1 0 0
boundary 43 255 131071 0 0 1 1
keep 0 80 19200 0 1 0 0
keep 1 80 19200 0 1 0 0
keep 2 80 19200 0 1 0 0
keep 3 80 19200 0 1 0 0
keep 4 80 19200 0 1 0 0
keep 5 80 19200 0 1 0 0
keep 6 80 19200 0 1 0 0
keep 7 80 19200 0 1 0 0
keep 8 80 19200 0 1 0 0
keep 9 80 19200 0 1 0 0
keep 10 80 19200 0 1 0 0
keep 11 80 19200 0 1 0 0
keep 12 80 19200 0 1 0 0
keep 13 80 19200 0 1 0 0
keep 14 80 19200 0 1 0 0
keep 15 80 19200 0 1 0 0
keep 16 80 19200 0 1 0 0
keep 17 80 19200 0 1 0 0
keep 18 80 19200 0 1 0 0
keep 19 80 19200 0 1 0 0
keep 20 80 19200 0 1 0 0
keep 21 80 19200 0 1 0 0
keep 22 80 19200 0 1 0 0
keep 23 80 19200 0 1 0 0
keep 24 80 19200 0 1 0 0
keep 25 80 19200 0 1 0 0
keep 26 80 19200 0 1 0 0
keep 27 80 19200 0 1 0 0
keep 28 80 19200 0 1 0 0
keep 29 80 19200 0 1 0 0
keep 30 80 19200 0 1 0 0
keep 31 80 19200 0 1 0 0
keep 32 80 19200 0 1 0 0
keep 33 80 19200 0 1 0 0
keep 34 80 19200 0 1 0 0
keep 35 80 19200 0 1 0 0
keep 36 81 20617 27 0 0 0
keep 37 81 20617 28 1 0 0
keep 38 90 21600 30 0 0 0
keep 39 90 21600 31 1 0 0
keep 40 30 8000 10 0 1 1
keep 41 30 8000 11 1 0 0
keep 42 200 50000 255 1 0 0
keep 43 255 131071 85 0 1 0
base_skip 0 255 131071 200 1 0 0
base_skip 1 255 131071 200 1 0 0
base_skip 2 255 131071 200 1 0 0
base_skip 3 255 131071 200 1 0 0
base_skip 4 255 131071 200 1 0 0
base_skip 5 255 131071 200 1 0 0
base_skip 6 255 131071 200 1 0 0
base_skip 7 255 131071 200 1 0 0
base_skip 8 255 131071 200 1 0 0
base_skip 9 255 131071 200 1 0 0
base_skip 10 255 131071 200 1 0 0
base_skip 11 10 2400 0 1 0 0
base_skip 12 255 131071 200 1 0 0
base_skip 13 255 131071 200 1 0 0
base_skip 14 255 131071 200 1 0 0
base_skip 15 255 131071 200 1 0 0
base_skip 16 255 131071 200 1 0 0
base_skip 17 255 131071 200 1 0 0
base_skip 18 255 131071 200 1 0 0
base_skip 19 255 131071 200 1 0 0
base_skip 20 255 131071 200 1 0 0
base_skip 21 255 131071 200 1 0 0
base_skip 22 255 131071 200 1 0 0
base_skip 23 80 19200 0 1 0 0
base_skip 24 255 131071 200 1 0 0
base_skip 25 255 131071 200 1 0 0
base_skip 26 255 131071 200 1 0 0
base_skip 27 255 131071 200 1 0 0
base_skip 28 255 131071 200 1 0 0
base_skip 29 255 131071 200 1 0 0
base_skip 30 255 131071 200 1 0 0
base_skip 31 255 131071 200 1 0 0
base_skip 32 255 131071 200 1 0 0
base_skip 33 255 131071 200 1 0 0
base_skip 34 255 131071 200 1 0 0
base_skip 35 80 19200 27 1 0 0
base_skip 36 255 131071 200 1 0 0
base_skip 37 255 131071 200 1 0 0
base_skip 38 255 131071 200 1 0 0
base_skip 39 255 131071 200 1 0 0
base_skip 40 255 131071 200 1 0 0
base_skip 41 255 131071 200 1 0 0
base_skip 42 255 131071 200 1 0 0
base_skip 43 255 131071 200 1 0 0
base_skip 44 255 131071 200 1 0 0
base_skip 45 255 131071 200 1 0 0
base_skip 46 255 131071 200 1 0 0
base_skip 47 70 16800 23 1 0 0
base_skip 48 255 131071 200 1 0 0
base_skip 49 255 131071 200 1 0 0
base_skip 50 255 131071 200 1 0 0
base_skip 51 255 131071 200 1 0 0
base_skip 52 255 131071 200 1 0 0
base_skip 53 255 131071 200 1 0 0
base_skip 54 255 131071 200 1 0 0
base_skip 55 255 131071 200 1 0 0
base_skip 56 255 131071 200 1 0 0
base_skip 57 255 131071 200 1 0 0
base_skip 58 255 131071 200 1 0 0
base_skip 59 29 7000 0 1 0 0
base_skip 60 255 131071 200 1 0 0
base_skip 61 255 131071 200 1 0 0
base_skip 62 255 131071 200 1 0 0
base_skip 63 255 131071 200 1 0 0
base_skip 64 255 131071 200 1 0 0
base_skip 65 255 131071 200 1 0 0
base_skip 66 255 131071 200 1 0 0
base_skip 67 255 131071 200 1 0 0
base_skip 68 255 131071 200 1 0 0
base_skip 69 255 131071 200 1 0 0
base_skip 70 255 131071 200 1 0 0
base_skip 71 90 21600 0 1 0 0
base_skip 72 80 19200 0 0 0 0
