peak_i confirm_i
59 68
181 184
366 368
547 549
731 734
921 923
1103 1106
1284 1287
1468 1471
1657 1660
1836 1838
2023 2026
2216 2219
2406 2409
2594 2597
2792 2794
2983 2986
3174 3176
3372 3375
3568 3570
3759 3761
3956 3958
4151 4153
4343 4345
4547 4550
4749 4752
4949 4952
5142 5144
5342 5345
5544 5547
5740 5743
5931 5934
6126 6129
6320 6323
6508 6511
6704 6707
6899 6902
7087 7089
7285 7288
7490 7493
7680 7683
7877 7880
8082 8085
8285 8288
8486 8488
8696 8699
8906 8909
9107 9110
9318 9321
9521 9524
9726 9728
9930 9932
10128 10131
10323 10326
10527 10529
10736 10739
10935 10938
11143 11146
11354 11357
11557 11560
11757 11760
11965 11968
12169 12172
12360 12363
12555 12558
12749 12751
12932 12935
13116 13119
13326 13329
13537 13540
13737 13740
13946 13949
14168 14170
14379 14381
14588 14590
14800 14803
14995 14998
15203 15205
15417 15419
15616 15619
15824 15826
16039 16042
16239 16241
16446 16448
16665 16668
16882 16885
17093 17095
17312 17315
17519 17521
17721 17724
17929 17931
18120 18122
18326 18329
18526 18529
18736 18739
18932 18934
19135 19138
19331 19334
19532 19535
19740 19743
19938 19941
20144 20146
20346 20349
20548 20551
20750 20752
20944 20946
21138 21141
21333 21336
21526 21528
21713 21715
21906 21909
22096 22099
22284 22287
22474 22477
22670 22673
22852 22855
23042 23045
23238 23241
23433 23436
23626 23629
23824 23827
24020 24023
24210 24212
24406 24409
24598 24600
24783 24785
24972 24975
25162 25165
25340 25343
25525 25527
25702 25705
25886 25889
26072 26075
26252 26254
26439 26441
26621 26624
26808 26811
26996 26998
27185 27188
27372 27374
27560 27563
27741 27744
27927 27930
28113 28116
28291 28294
28477 28480
28666 28669
