confirm_i rr ok
184 122 0
368 185 0
549 181 1
734 184 1
923 190 1
1106 182 1
1287 181 1
1471 184 1
1660 189 1
1838 179 1
2026 187 1
2219 193 1
2409 190 1
2597 188 1
2794 198 1
2986 191 1
3176 191 1
3375 198 1
3570 196 1
3761 191 1
3958 197 1
4153 195 1
4345 192 1
4550 204 1
4752 202 1
4952 200 1
5144 193 1
5345 200 1
5547 202 1
5743 196 1
5934 191 1
6129 195 1
6323 194 1
6511 188 1
6707 196 1
6902 195 1
7089 188 1
7288 198 1
7493 205 1
7683 190 1
7880 197 1
8085 205 1
8288 203 1
8488 201 1
8699 210 1
8909 210 1
9110 201 1
9321 211 1
9524 203 1
9728 205 1
9932 204 1
10131 198 1
10326 195 1
10529 204 1
10739 209 1
10938 199 1
11146 208 1
11357 211 1
11560 203 1
11760 200 1
11968 208 1
12172 204 1
12363 191 1
12558 195 1
12751 194 1
12935 183 1
13119 184 1
13329 210 1
13540 211 1
13740 200 1
13949 209 1
14170 222 1
14381 211 1
14590 209 1
14803 212 1
14998 195 1
15205 208 1
15419 214 1
15619 199 1
15826 208 1
16042 215 1
16241 200 1
16448 207 1
16668 219 1
16885 217 1
17095 211 1
17315 219 1
17521 207 1
17724 202 1
17931 208 1
18122 191 1
18329 206 1
18529 200 1
18739 210 1
18934 196 1
19138 203 1
19334 196 1
19535 201 1
19743 208 1
19941 198 1
20146 206 1
20349 202 1
20551 202 1
20752 202 1
20946 194 1
21141 194 1
21336 195 1
21528 193 1
21715 187 1
21909 193 1
22099 190 1
22287 188 1
22477 190 1
22673 196 1
22855 182 1
23045 190 1
23241 196 1
23436 195 1
23629 193 1
23827 198 1
24023 196 1
24212 190 1
24409 196 1
24600 192 1
24785 185 1
24975 189 1
25165 190 1
25343 178 1
25527 185 1
25705 177 1
25889 184 1
26075 186 1
26254 180 1
26441 187 1
26624 182 1
26811 187 1
26998 188 1
27188 189 1
27374 187 1
27563 188 1
27744 181 1
27930 186 1
28116 186 1
28294 178 1
28480 186 1
28669 189 1
