block_end n30 sum_rr30 sum_rr230 sum_d30 sum_d230 n60 sum_rr60 sum_rr260 sum_d60 sum_d260
1199 4 737 135841 1 109 4 737 135841 1 109
2399 10 1850 342438 12 344 10 1850 342438 12 344
3599 17 3202 603668 15 559 17 3202 603668 15 559
4799 23 4383 836267 21 781 23 4383 836267 21 781
5999 29 5565 1069217 10 948 29 5565 1069217 10 948
7199 35 6721 1292007 7 1115 35 6721 1292007 7 1115
8399 37 7182 1395538 21 1497 41 7919 1531379 22 1606
9599 37 7305 1443673 10 1592 47 9155 1786111 22 1936
10799 36 7168 1428610 13 1533 53 10370 2032278 28 2092
11999 36 7216 1447870 6 1638 59 11599 2284137 27 2419
13199 36 7185 1436023 -7 1795 65 12750 2505240 3 2743
14399 36 7292 1479340 23 2797 71 14013 2771347 30 3912
15599 35 7132 1455678 11 2813 72 14314 2851216 32 4310
16799 35 7144 1460846 16 3256 72 14449 2904519 26 4848
17999 35 7193 1481167 -1 3409 71 14361 2909777 12 4942
19199 35 7170 1471950 -5 3977 71 14386 2919820 1 5615
20399 35 7230 1495372 18 3956 71 14415 2931395 11 5751
21599 35 7147 1461419 -18 2856 71 14439 2940759 5 5653
22799 36 7253 1463887 -18 2474 71 14385 2919565 -7 5287
23999 36 7159 1426105 -21 2027 71 14303 2886951 -5 5283
25199 37 7233 1415459 -18 1876 72 14426 2896626 -19 5285
26399 37 7117 1370907 -23 1327 72 14287 2842857 -28 5304
27599 38 7214 1370822 -14 1130 73 14444 2866194 4 5086
28799 38 7140 1342622 -4 1272 73 14287 2804041 -22 4128
